"Wavelength, µm",n,k
0.22,2.579368207,0
0.227,2.52011277,0
0.2342,2.472161619,0
0.2416,2.432634895,0
0.2493,2.399162512,0
0.2572,2.37086929,0
0.2653,2.346688165,0
0.2738,2.32536385,0
0.2825,2.306891784,0
0.2914,2.290767409,0
0.3007,2.27630864,0
0.3102,2.263570074,0
0.32,2.252174634,0
0.3302,2.241852476,0
0.3407,2.232573974,0
0.3515,2.224208726,0
0.3626,2.216645938,0
0.3741,2.20973444,0
0.386,2.203412272,0
0.3983,2.197623519,0
0.4109,2.192357165,0
0.4239,2.187519771,0
0.4374,2.18304064,0
0.4513,2.178922157,0
0.4656,2.175130934,0
0.4804,2.171614358,0
0.4956,2.168372328,0
0.5113,2.165361326,0
0.5275,2.16256391,0
0.5443,2.159948874,0
0.5615,2.157531818,0
0.5794,2.155257824,0
0.5977,2.153153159,0
0.6167,2.151171802,0
0.6363,2.149316361,0
0.6565,2.147577722,0
0.6773,2.145947174,0
0.6988,2.144409592,0
0.721,2.142958873,0
0.7438,2.141594712,0
0.7674,2.140299282,0
0.7918,2.139068255,0
0.8169,2.137901689,0
0.8428,2.136790021,0
0.8696,2.135725143,0
0.8972,2.134707195,0
0.9256,2.133731956,0
0.955,2.132789123,0
0.9853,2.13187879,0
1.017,2.130983815,0
1.049,2.130131557,0
1.082,2.129298842,0
1.116,2.128482832,0
1.152,2.12765827,0
1.188,2.126868028,0
1.226,2.126065124,0
1.265,2.125268863,0
1.305,2.124476218,0
1.347,2.12366515,0
1.389,2.122871349,0
1.433,2.12205405,0
1.479,2.121211185,0
1.526,2.120358418,0
1.574,2.119492793,0
1.624,2.118593469,0
1.676,2.117657552,0
1.729,2.116700021,0
1.784,2.115699683,0
1.84,2.114671571,0
1.899,2.113575369,0
1.959,2.112444497,0
2.021,2.111256601,0
2.085,2.110007589,0
2.151,2.108693179,0
2.22,2.107288303,0
2.29,2.105828974,0
2.363,2.104268537,0
2.438,2.102622386,0
2.515,2.100885101,0
2.595,2.099027477,0
2.677,2.097065743,0
2.762,2.09496857,0
2.85,2.092726956,0
2.94,2.090358074,0
3.033,2.087826802,0
3.13,2.085093759,0
3.229,2.082203818,0
3.331,2.079117101,0
3.437,2.075788605,0
3.546,2.07223392,0
3.659,2.068403375,0
3.775,2.064312529,0
3.894,2.059943741,0
4.018,2.055199933,0
4.146,2.050091247,0
4.277,2.044632125,0
4.413,2.038708591,0
4.553,2.032327756,0
4.697,2.025452684,0
4.846,2.017991432,0
5,2.009891304,0
